index,235723108,241069061,330104569,370732820,388803466,466410300
-500,0.0,0.0,0.0,0.0,12.0,0.0
-499,0.0,0.0,0.0,0.0,12.0,0.0
-498,0.0,0.0,0.0,0.0,12.0,0.0
-497,0.0,0.0,0.0,0.0,12.0,0.0
-496,0.0,0.0,0.0,0.0,12.0,0.0
-495,0.0,0.0,0.0,0.0,12.0,0.0
-494,0.0,0.0,0.0,0.0,12.0,0.0
-493,0.0,0.0,0.0,0.0,12.0,0.0
-492,0.0,0.0,0.0,0.0,12.0,0.0
-491,0.0,0.0,0.0,0.0,12.0,0.0
-490,0.0,0.0,0.0,0.0,12.0,0.0
-489,0.0,0.0,0.0,0.0,12.0,0.0
-488,0.0,0.0,0.0,0.0,12.0,0.0
-487,0.0,0.0,0.0,0.0,12.0,0.0
-486,0.0,0.0,0.0,0.0,12.0,0.0
-485,0.0,0.0,0.0,0.0,12.0,0.0
-484,0.0,0.0,0.0,0.0,12.0,0.0
-483,0.0,0.0,0.0,0.0,12.0,0.0
-482,0.0,0.0,0.0,0.0,12.0,0.0
-481,0.0,0.0,0.0,0.0,12.0,0.0
-480,0.0,0.0,0.0,0.0,12.0,0.0
-479,0.0,0.0,0.0,0.0,12.0,0.0
-478,0.0,0.0,0.0,0.0,12.0,0.0
-477,0.0,0.0,0.0,0.0,12.0,0.0
-476,0.0,0.0,0.0,0.0,12.0,0.0
-475,0.0,0.0,0.0,0.0,12.0,0.0
-474,0.0,0.0,0.0,0.0,12.0,0.0
-473,0.0,0.0,0.0,0.0,12.0,0.0
-472,0.0,0.0,0.0,0.0,12.0,0.0
-471,0.0,0.0,0.0,0.0,12.0,0.0
-470,0.0,0.0,0.0,0.0,12.0,0.0
-469,0.0,0.0,0.0,0.0,12.0,0.0
-468,0.0,0.0,0.0,0.0,12.0,0.0
-467,0.0,0.0,0.0,0.0,12.0,0.0
-466,0.0,0.0,0.0,0.0,12.0,0.0
-465,0.0,0.0,0.0,0.0,12.0,0.0
-464,0.0,0.0,0.0,0.0,12.0,0.0
-463,0.0,0.0,0.0,0.0,12.0,0.0
-462,0.0,0.0,0.0,0.0,12.0,0.0
-461,0.0,0.0,0.0,0.0,12.0,0.0
-460,0.0,0.0,0.0,0.0,12.0,0.0
-459,0.0,0.0,0.0,0.0,12.0,0.0
-458,0.0,0.0,0.0,0.0,12.0,0.0
-457,0.0,0.0,0.0,0.0,12.0,0.0
-456,0.0,0.0,0.0,0.0,12.0,0.0
-455,0.0,0.0,0.0,0.0,12.0,0.0
-454,0.0,0.0,0.0,0.0,12.0,0.0
-453,0.0,0.0,0.0,0.0,12.0,0.0
-452,0.0,0.0,0.0,0.0,12.0,0.0
-451,0.0,0.0,0.0,0.0,12.0,0.0
-450,0.0,0.0,0.0,0.0,12.0,0.0
-449,0.0,0.0,0.0,0.0,12.0,0.0
-448,0.0,0.0,0.0,0.0,12.0,0.0
-447,0.0,0.0,0.0,0.0,12.0,0.0
-446,0.0,0.0,0.0,0.0,12.0,0.0
-445,0.0,0.0,0.0,0.0,12.0,0.0
-444,0.0,0.0,0.0,0.0,12.0,0.0
-443,0.0,0.0,0.0,0.0,12.0,0.0
-442,0.0,0.0,0.0,0.0,12.0,0.0
-441,0.0,0.0,0.0,0.0,12.0,0.0
-440,0.0,0.0,0.0,0.0,12.0,0.0
-439,0.0,0.0,0.0,0.0,12.0,0.0
-438,0.0,0.0,0.0,0.0,12.0,0.0
-437,0.0,0.0,0.0,0.0,12.0,0.0
-436,0.0,0.0,0.0,0.0,12.0,0.0
-435,0.0,0.0,0.0,0.0,12.0,0.0
-434,0.0,0.0,0.0,0.0,12.0,0.0
-433,0.0,0.0,0.0,0.0,12.0,0.0
-432,0.0,0.0,0.0,0.0,12.0,0.0
-431,0.0,0.0,0.0,0.0,12.0,0.0
-430,0.0,0.0,0.0,0.0,12.0,0.0
-429,0.0,0.0,0.0,0.0,12.0,0.0
-428,0.0,0.0,0.0,0.0,12.0,0.0
-427,0.0,0.0,0.0,0.0,12.0,0.0
-426,0.0,0.0,0.0,0.0,12.0,0.0
-425,0.0,0.0,0.0,0.0,12.0,0.0
-424,0.0,0.0,0.0,0.0,12.0,0.0
-423,0.0,0.0,0.0,0.0,12.0,0.0
-422,0.0,0.0,0.0,0.0,12.0,0.0
-421,0.0,0.0,0.0,0.0,12.0,0.0
-420,0.0,0.0,0.0,0.0,12.0,0.0
-419,0.0,0.0,0.0,0.0,12.0,0.0
-418,0.0,0.0,0.0,0.0,12.0,0.0
-417,0.0,0.0,0.0,0.0,12.0,0.0
-416,0.0,0.0,0.0,0.0,12.0,0.0
-415,0.0,0.0,0.0,0.0,12.0,0.0
-414,0.0,0.0,0.0,0.0,12.0,0.0
-413,0.0,0.0,0.0,0.0,12.0,0.0
-412,0.0,0.0,0.0,0.0,12.0,0.0
-411,0.0,0.0,0.0,0.0,12.0,0.0
-410,0.0,0.0,0.0,0.0,12.0,0.0
-409,0.0,0.0,0.0,0.0,12.0,0.0
-408,0.0,0.0,0.0,0.0,12.0,0.0
-407,0.0,0.0,0.0,0.0,12.0,0.0
-406,0.0,0.0,0.0,0.0,12.0,0.0
-405,0.0,0.0,0.0,0.0,12.0,0.0
-404,0.0,0.0,0.0,0.0,12.0,0.0
-403,0.0,0.0,0.0,0.0,12.0,0.0
-402,0.0,0.0,0.0,0.0,12.0,0.0
-401,0.0,0.0,0.0,0.0,12.0,0.0
-400,0.0,0.0,0.0,0.0,12.0,0.0
-399,0.0,0.0,0.0,0.0,12.0,0.0
-398,0.0,0.0,0.0,0.0,12.0,0.0
-397,0.0,0.0,0.0,0.0,12.0,0.0
-396,0.0,0.0,0.0,0.0,12.0,0.0
-395,0.0,0.0,0.0,0.0,12.0,0.0
-394,0.0,0.0,0.0,0.0,12.0,0.0
-393,0.0,0.0,0.0,0.0,12.0,0.0
-392,0.0,0.0,0.0,0.0,12.0,0.0
-391,0.0,0.0,0.0,0.0,12.0,0.0
-390,0.0,0.0,0.0,0.0,12.0,0.0
-389,0.0,0.0,0.0,0.0,12.0,0.0
-388,0.0,0.0,0.0,0.0,12.0,0.0
-387,0.0,0.0,0.0,0.0,12.0,0.0
-386,0.0,0.0,0.0,0.0,12.0,0.0
-385,0.0,0.0,0.0,0.0,12.0,0.0
-384,0.0,0.0,0.0,0.0,12.0,0.0
-383,0.0,0.0,0.0,0.0,12.0,0.0
-382,0.0,0.0,0.0,0.0,12.0,0.0
-381,0.0,0.0,0.0,0.0,12.0,0.0
-380,0.0,0.0,0.0,0.0,12.0,0.0
-379,0.0,0.0,0.0,0.0,12.0,0.0
-378,0.0,0.0,0.0,0.0,12.0,0.0
-377,0.0,0.0,0.0,0.0,12.0,0.0
-376,0.0,0.0,0.0,0.0,12.0,0.0
-375,0.0,0.0,0.0,0.0,12.0,0.0
-374,0.0,0.0,0.0,0.0,12.0,0.0
-373,0.0,0.0,0.0,0.0,12.0,0.0
-372,0.0,0.0,0.0,0.0,12.0,0.0
-371,0.0,0.0,0.0,0.0,12.0,0.0
-370,0.0,0.0,0.0,0.0,12.0,0.0
-369,0.0,0.0,0.0,0.0,12.0,0.0
-368,0.0,0.0,0.0,0.0,12.0,0.0
-367,0.0,0.0,0.0,0.0,12.0,0.0
-366,0.0,0.0,0.0,0.0,12.0,0.0
-365,0.0,0.0,0.0,0.0,12.0,0.0
-364,0.0,0.0,0.0,0.0,12.0,0.0
-363,0.0,0.0,0.0,0.0,12.0,0.0
-362,0.0,0.0,0.0,0.0,12.0,0.0
-361,0.0,0.0,0.0,0.0,12.0,0.0
-360,0.0,0.0,0.0,0.0,12.0,0.0
-359,0.0,0.0,0.0,0.0,12.0,0.0
-358,0.0,0.0,0.0,0.0,12.0,0.0
-357,0.0,0.0,0.0,0.0,12.0,0.0
-356,0.0,0.0,0.0,0.0,12.0,0.0
-355,0.0,0.0,0.0,0.0,12.0,0.0
-354,0.0,0.0,0.0,0.0,12.0,0.0
-353,0.0,0.0,0.0,0.0,12.0,0.0
-352,0.0,0.0,0.0,0.0,12.0,0.0
-351,0.0,0.0,0.0,0.0,12.0,0.0
-350,0.0,0.0,0.0,0.0,12.0,0.0
-349,0.0,0.0,0.0,0.0,12.0,0.0
-348,0.0,0.0,0.0,0.0,12.0,0.0
-347,0.0,0.0,0.0,0.0,12.0,0.0
-346,0.0,0.0,0.0,0.0,12.0,0.0
-345,0.0,0.0,0.0,0.0,12.0,0.0
-344,0.0,0.0,0.0,0.0,12.0,0.0
-343,0.0,0.0,0.0,0.0,12.0,0.0
-342,0.0,0.0,0.0,0.0,12.0,0.0
-341,0.14285714285714285,0.0,0.0,0.0,12.0,0.0
-340,0.2857142857142857,0.0,0.0,0.0,12.0,0.0
-339,0.42857142857142855,0.0,0.0,0.0,12.0,0.0
-338,0.5714285714285714,0.0,0.0,0.0,12.0,0.0
-337,0.7142857142857142,0.0,0.0,0.0,12.0,0.0
-336,0.8571428571428571,0.0,0.0,0.0,12.0,0.0
-335,1.0,0.0,0.0,0.0,12.0,0.0
-334,1.1428571428571428,0.0,0.0,0.0,12.0,0.0
-333,1.2857142857142856,0.0,0.0,0.0,12.0,0.0
-332,1.4285714285714286,0.0,0.0,0.0,12.0,0.0
-331,1.5714285714285714,0.0,0.0,0.0,12.0,0.0
-330,1.7142857142857142,0.0,0.0,0.0,12.0,0.0
-329,1.8571428571428572,0.0,0.0,0.0,12.0,0.0
-328,2.0,0.0,0.0,0.0,12.0,0.0
-327,2.0,0.0,0.0,0.0,12.0,0.0
-326,2.0,0.0,0.0,0.0,12.0,0.0
-325,2.0,0.0,0.0,0.0,12.0,0.0
-324,2.0,0.0,0.0,0.0,12.0,0.0
-323,2.0,0.0,0.0,0.0,12.0,0.0
-322,2.0,0.0,0.0,0.0,12.0,0.0
-321,2.0,0.0,0.0,0.0,12.0,0.0
-320,2.0,0.0,0.0,0.0,12.0,0.0
-319,2.0,0.0,0.0,0.0,12.0,0.0
-318,2.0,0.0,0.0,0.0,12.0,0.0
-317,2.0,0.0,0.0,0.0,12.0,0.0
-316,2.0,0.0,0.0,0.0,12.0,0.0
-315,2.0,0.0,0.0,0.0,12.0,0.0
-314,2.0,0.0,0.0,0.0,12.0,0.0
-313,2.0,0.0,0.0,0.0,12.0,0.0
-312,2.0,0.0,0.0,0.0,12.0,0.0
-311,2.0,0.0,0.0,0.0,12.0,0.0
-310,2.0,0.0,0.0,0.0,12.0,0.0
-309,2.0,0.0,0.0,0.0,12.0,0.0
-308,2.0,0.0,0.0,0.0,12.0,0.0
-307,2.0,0.0,0.0,0.0,12.0,0.0
-306,2.0,0.0,0.0,0.0,12.0,0.0
-305,2.0,0.0,0.0,0.0,12.0,0.0
-304,2.0,0.0,0.0,0.0,12.0,0.0
-303,2.0,0.0,0.0,0.0,12.0,0.0
-302,2.0,0.0,0.0,0.0,12.0,0.0
-301,2.0,0.0,0.0,0.0,12.0,0.0
-300,2.0,0.0,0.0,0.0,12.0,0.0
-299,2.0,0.0,0.0,0.0,12.0,0.0
-298,2.0,0.0,0.0,0.0,12.0,0.0
-297,2.0,0.0,0.0,0.0,12.0,0.0
-296,2.0,0.0,0.0,0.0,12.0,0.0
-295,2.0,0.0,0.0,0.0,12.0,0.0
-294,2.0,0.0,0.0,0.0,12.0,0.0
-293,2.0,0.0,0.0,0.0,12.0,0.0
-292,2.0,0.0,0.0,0.0,12.0,0.0
-291,2.0,0.0,0.0,0.0,12.0,0.0
-290,2.0,0.0,0.0,0.0,12.0,0.0
-289,2.0,0.0,0.0,0.0,12.0,0.0
-288,2.0,0.0,0.0,0.0,12.0,0.0
-287,2.0,0.0,0.0,0.0,12.0,0.0
-286,2.0,0.0,0.0,0.0,12.0,0.0
-285,2.0,0.0,0.0,0.0,12.0,0.0
-284,2.0,0.0,0.0,0.0,12.0,0.0
-283,2.0,0.0,0.0,0.0,12.0,0.0
-282,2.0,0.0,0.0,0.0,12.0,0.0
-281,2.0,0.0,0.0,0.0,12.0,0.0
-280,2.0,0.0,0.0,0.0,12.0,0.0
-279,2.0,0.0,0.0,0.0,12.0,0.0
-278,2.0,0.0,0.0,0.0,12.0,0.0
-277,2.0,0.0,0.0,0.0,12.0,0.0
-276,2.0,0.0,0.0,0.0,12.0,0.0
-275,2.0,0.0,0.0,0.0,12.0,0.0
-274,2.0,0.0,0.0,0.0,12.0,0.0
-273,2.0,0.0,0.0,0.0,12.0,0.0
-272,2.0,0.0,0.0,0.0,12.0,0.0
-271,2.0,0.0,0.0,0.0,12.0,0.0
-270,2.0,0.0,0.0,0.0,12.0,0.0
-269,2.0,0.0,0.0,0.0,12.0,0.0
-268,2.0,0.0,0.0,0.0,12.0,0.0
-267,2.0,0.0,0.0,0.0,12.0,0.0
-266,2.0,0.0,0.0,0.0,12.0,0.0
-265,2.0,0.0,0.0,0.0,12.0,0.0
-264,2.0,0.0,0.0,0.0,12.0,0.0
-263,2.0,0.0,0.0,0.0,12.0,0.0
-262,2.0,0.0,0.0,0.0,12.0,0.0
-261,2.0,0.0,0.0,0.0,12.0,0.0
-260,2.0,0.0,0.0,0.0,12.0,0.0
-259,2.0,0.0,0.0,0.0,12.0,0.0
-258,2.0,0.0,0.0,0.0,12.0,0.0
-257,2.0,0.0,0.0,0.0,12.0,0.0
-256,2.0,0.0,0.0,0.0,12.0,0.0
-255,2.0,0.0,0.0,0.0,12.0,0.0
-254,2.0,0.0,0.0,0.0,12.0,0.0
-253,2.0,0.0,0.0,0.0,12.0,0.0
-252,2.0,0.0,0.0,0.0,12.0,0.0
-251,2.0,0.0,0.0,0.0,12.0,0.0
-250,2.0,0.0,0.0,0.0,12.0,0.0
-249,2.0,0.0,0.0,0.0,12.0,0.0
-248,2.0,0.0,0.0,0.0,12.0,0.0
-247,2.0,0.0,0.0,0.0,12.0,0.0
-246,2.0,0.0,0.0,0.0,12.0,0.0
-245,2.0,0.0,0.0,0.0,12.0,0.0
-244,2.0,0.0,0.0,0.0,12.0,0.0
-243,2.0,0.0,0.0,0.0,12.0,0.0
-242,2.0,0.0,0.0,0.0,12.0,0.0
-241,2.0,0.0,0.0,0.0,12.0,0.0
-240,2.0,0.0,0.0,0.0,12.0,0.0
-239,2.0,0.0,0.0,0.0,12.0,0.0
-238,2.0,0.0,0.0,0.0,12.0,0.0
-237,2.0,0.0,0.0,0.0,12.0,0.0
-236,2.0,0.0,0.0,0.0,12.0,0.0
-235,2.0,0.0,0.0,0.0,12.0,0.0
-234,2.0,0.0,0.0,0.0,12.0,0.0
-233,2.0,0.0,0.0,0.0,12.0,0.0
-232,2.0,0.0,0.0,0.0,12.0,0.0
-231,2.0,0.0,0.0,0.0,12.0,0.0
-230,2.0,0.0,0.0,0.0,12.0,0.0
-229,2.0,0.0,0.0,0.0,12.0,0.0
-228,2.0,0.0,0.0,0.0,12.0,0.0
-227,2.0,0.0,0.0,0.0,12.0,0.0
-226,2.0,0.0,0.0,0.0,12.0,0.0
-225,2.0,0.0,0.0,0.0,12.0,0.0
-224,2.0,0.0,0.0,0.0,12.0,0.0
-223,2.0,0.0,0.0,0.0,12.0,0.0
-222,2.0,0.0,0.0,0.0,12.0,0.0
-221,2.0,0.0,0.0,0.0,12.0,0.0
-220,2.0,0.0,0.0,0.0,12.0,0.0
-219,2.0,0.0,0.0,0.0,12.0,0.0
-218,2.0,0.0,0.0,0.0,12.0,0.0
-217,2.0,0.0,0.0,0.0,12.0,0.0
-216,2.0,0.0,0.0,0.0,12.0,0.0
-215,2.0,0.0,0.0,0.0,12.0,0.0
-214,2.0,0.0,0.0,0.0,12.0,0.0
-213,2.0,0.0,0.0,0.0,12.0,0.0
-212,2.0,0.0,0.0,0.0,12.0,0.0
-211,2.0,0.0,0.0,0.0,12.0,0.0
-210,2.0,0.0,0.0,0.0,12.0,0.0
-209,2.0,0.0,0.0,0.0,12.0,0.0
-208,2.0,0.0,0.0,0.0,12.0,0.0
-207,2.0,0.0,0.0,0.0,12.0,0.0
-206,2.0,0.0,0.0,0.0,12.0,0.0
-205,2.0,0.0,0.0,0.0,12.0,0.0
-204,2.0,0.0,0.0,0.0,12.0,0.0
-203,2.0,0.0,0.0,0.0,12.0,0.0
-202,2.0,0.0,0.0,0.0,12.0,0.0
-201,2.0,0.0,0.0,0.0,12.0,0.0
-200,2.0,0.0,0.0,0.0,12.0,0.0
-199,2.0,0.0,0.0,0.0,12.0,0.0
-198,2.0,0.0,0.0,0.0,12.0,0.0
-197,2.0,0.0,0.0,0.0,12.0,0.0
-196,2.0,0.0,0.0,0.0,12.0,0.0
-195,2.0,0.0,0.0,0.0,12.0,0.0
-194,2.0,0.0,0.0,0.0,12.0,0.0
-193,2.0,0.0,0.0,0.0,12.0,0.0
-192,2.0,0.0,0.0,0.0,12.0,0.0
-191,2.0,0.0,0.0,0.0,12.0,0.0
-190,2.0,0.0,0.0,0.0,12.0,0.0
-189,2.0,0.0,0.0,0.0,12.0,0.0
-188,2.0,0.0,0.0,0.0,12.0,0.0
-187,2.0,0.0,0.0,0.0,12.0,0.0
-186,2.0,0.0,0.0,0.0,12.0,0.0
-185,2.0,0.0,0.0,0.0,12.0,0.0
-184,2.0,0.0,0.0,0.0,12.0,0.0
-183,2.0,0.0,0.0,0.0,12.0,0.0
-182,2.0,0.0,0.0,0.0,12.0,0.0
-181,2.0,0.0,0.0,0.0,12.0,0.0
-180,2.0,0.0,0.0,0.0,12.0,0.0
-179,2.0,0.0,0.0,0.0,12.0,0.0
-178,2.0,0.0,0.0,0.0,12.0,0.0
-177,2.0,0.0,0.0,0.0,12.0,0.0
-176,2.0,0.0,0.0,0.0,12.0,0.0
-175,2.0,0.0,0.0,0.0,12.0,0.0
-174,2.0,0.0,0.0,0.0,12.0,0.0
-173,2.0,0.0,0.0,0.0,12.0,0.0
-172,2.0,0.0,0.0,0.0,12.0,0.0
-171,2.0,0.0,0.0,0.0,12.0,0.0
-170,2.0,0.0,0.0,0.0,12.0,0.0
-169,2.0,0.0,0.0,0.0,12.0,0.0
-168,2.0,0.0,0.0,0.0,12.0,0.0
-167,2.0,0.0,0.0,0.0,12.0,0.0
-166,2.0,0.0,0.0,0.0,12.0,0.0
-165,2.0,0.0,0.0,0.0,12.0,0.0
-164,2.0,0.0,0.0,0.0,12.0,0.0
-163,2.0,0.0,0.0,0.0,12.0,0.0
-162,2.0,0.0,0.0,0.0,12.0,0.0
-161,2.0,0.0,0.0,0.0,12.0,0.0
-160,2.0,0.0,0.0,0.0,12.0,0.0
-159,2.0,0.0,0.0,0.0,12.0,0.0
-158,2.0,0.0,0.0,0.0,12.0,0.0
-157,2.0,0.0,0.0,0.0,12.0,0.0
-156,2.0,0.0,0.0,0.0,12.0,0.0
-155,2.0,0.0,0.0,0.0,12.0,0.0
-154,2.0,0.0,0.0,0.0,12.0,0.0
-153,2.0,0.0,0.0,0.0,12.0,0.0
-152,2.0,0.0,0.0,0.0,12.0,0.0
-151,2.0,0.0,0.0,0.0,12.0,0.0
-150,2.0,0.0,0.0,0.0,12.0,0.0
-149,2.0,0.0,0.0,0.0,12.0,0.0
-148,2.0,0.0,0.0,0.0,12.0,0.0
-147,2.0,0.0,0.0,0.0,12.0,0.0
-146,2.0,0.0,0.0,0.0,12.0,0.0
-145,2.0,0.0,0.0,0.0,12.0,0.0
-144,2.0,0.0,0.0,0.0,12.0,0.0
-143,2.0,0.0,0.0,0.0,12.0,0.0
-142,2.0,0.0,0.0,0.0,12.0,0.0
-141,2.0,0.0,0.0,0.0,12.0,0.0
